isocode,XRAT,POP,cc,cg,ci,kc,kg,ki,openc,openk,csave,rgdpch,rgdpl,cgdp,rgdptt,y,p,pc,pg,pi,yr,cgnp,rgdpeqa,rgdpwok
AFG,,,,,,,,,,,,,,,,,,,,,1963,102.07099421,,
AFG,,,,,,,,,,,,,,,,,,,,,1964,101.94442776,,
AFG,,,,,,,,,,,,,,,,,,,,,1965,101.98675898,,
AFG,,,,,,,,,,,,,,,,,,,,,1966,102.06349333,,
AFG,,,,,,,,,,,,,,,,,,,,,1967,102.12482845,,
AFG,,,,,,,,,,,,,,,,,,,,,1968,102.10355443,,
AFG,,,,,,,,,,,,,,,,,,,,,1969,102.05046789,,
AFG,,,,,,,,,,,,,,,,,,,,,1970,102.03316963,,
AFG,,,,,,,,,,,,,,,,,,,,,1971,102.06310392,,
AFG,,,,,,,,,,,,,,,,,,,,,1972,102.22828116,,
AFG,,,,,,,,,,,,,,,,,,,,,1973,102.17936616,,
AFG,,,,,,,,,,,,,,,,,,,,,1974,102.16495141,,
AFG,,,,,,,,,,,,,,,,,,,,,1975,102.15962441,,
AFG,,,,,,,,,,,,,,,,,,,,,1976,102.17391304,,
AFG,,,,,,,,,,,,,,,,,,,,,1977,102.1820918,,
AFG,,,,,,,,,,,,,,,,,,,,,1978,102.15488215,,
AFG,,,,,,,,,,,,,,,,,,,,,1979,102.1039604,,
AFG,,,,,,,,,,,,,,,,,,,,,1980,102.05479452,,
AFG,,,,,,,,,,,,,,,,,,,,,1981,102.09059233,,
AFG,,,,,,,,,,,,,,,,,,,,,1982,,,
AFG,,,,,,,,,,,,,,,,,,,,,1983,,,
AFG,,,,,,,,,,,,,,,,,,,,,1984,,,
AFG,,,,,,,,,,,,,,,,,,,,,1985,,,
AFG,,,,,,,,,,,,,,,,,,,,,1986,,,
AFG,,,,,,,,,,,,,,,,,,,,,1987,,,
AFG,,,,,,,,,,,,,,,,,,,,,1988,,,
AFG,,,,,,,,,,,,,,,,,,,,,1989,,,
AFG,,,,,,,,,,,,,,,,,,,,,1990,,,
AFG,,,,,,,,,,,,,,,,,,,,,1991,,,
AFG,,,,,,,,,,,,,,,,,,,,,1992,,,
AFG,,,,,,,,,,,,,,,,,,,,,1993,,,
AFG,,,,,,,,,,,,,,,,,,,,,1994,,,
AFG,,,,,,,,,,,,,,,,,,,,,1995,,,
AFG,,,,,,,,,,,,,,,,,,,,,1996,,,
AFG,,,,,,,,,,,,,,,,,,,,,1997,,,
AFG,,,,,,,,,,,,,,,,,,,,,1998,,,
AFG,,,,,,,,,,,,,,,,,,,,,1999,,,
AFG,,,,,,,,,,,,,,,,,,,,,2000,,,
AGO,,,,,,,,,,,,,,,,,,,,,1950,,,
AGO,,,,,,,,,,,,,,,,,,,,,1951,,,
AGO,,,,,,,,,,,,,,,,,,,,,1952,,,
AGO,,,,,,,,,,,,,,,,,,,,,1953,,,
AGO,,,,,,,,,,,,,,,,,,,,,1954,,,
AGO,,,,,,,,,,,,,,,,,,,,,1955,,,
AGO,,,,,,,,,,,,,,,,,,,,,1956,,,
AGO,,,,,,,,,,,,,,,,,,,,,1957,,,
AGO,,,,,,,,,,,,,,,,,,,,,1958,,,
AGO,,,,,,,,,,,,,,,,,,,,,1959,,,
AGO,0.028668441,4816,76.750007116,9.4521739756,8.8409813327,72.868907264,11.546294729,6.9632283387,36.975359744,31.335794211,13.797818908,2471.3439788,2462.2328959,542.68476459,2361.6891585,18.7882976,17.513592159,13.071995254,24.0275627,49.107529617,1960,,3127.0066656,5136.4668077
AGO,0.028734859,4884.19,74.234058495,9.8463151009,7.9234544073,68.89259561,11.471564137,6.1346599899,35.228157494,32.50923171,15.919626404,2598.4470697,2595.0181186,564.37456595,2428.6251914,19.227403014,17.357511971,13.180425725,23.654351025,48.667265325,1961,,3290.6563299,5417.8686297
AGO,0.02867844,4955.35,75.484892829,10.553584721,6.7596076851,69.763971721,12.053020913,5.3572292274,38.792531527,34.656292079,13.96152245,2614.3659186,2617.8924951,573.94258214,2446.1257084,18.481384748,17.275104888,13.41371783,23.648712183,50.444483063,1962,,3310.4674124,5470.5075485
AGO,0.028752031,5028.69,73.681733619,13.562838026,5.7233261869,68.470302891,15.346302565,4.5582239674,38.600769872,33.358006947,12.755428355,2650.8997423,2674.6821427,593.72421328,2526.5440232,18.366247022,17.730088515,13.901900927,24.040847438,52.059024266,1963,,3357.9828888,5563.9763771
AGO,0.02881977,5103.68,72.255104476,11.687858703,6.4299637154,72.331838363,14.091364187,5.5212229704,40.564710881,32.157017738,16.057036821,2722.495633,2734.9179299,661.81039116,2762.2665182,19.303893373,17.819206348,13.972393077,23.902837633,49.988481504,1964,,3450.8236847,5735.2474599
AGO,0.028778531,5180,74.794830292,12.161441265,7.5183099939,72.800210849,13.852582006,6.2677891659,39.171303221,32.955911281,13.043728443,2874.3194094,2882.3038879,686.88765861,2825.1657057,18.668621206,18.595077766,14.407754491,24.137289288,51.287112813,1965,,3642.969796,6070.71416
AGO,0.02882386,5257.6,73.407046868,12.260881946,7.8648508747,73.541882153,14.103298117,6.7923446795,39.812944921,32.546396575,14.332071186,2922.4795491,2928.7434362,739.6070239,2946.7801989,18.575655831,18.198274679,14.040039932,23.145331704,49.29720519,1966,,3712.0425046,6201.3590408
